Info 0    [09:38:51.026] Starting TS Server
Info 1    [09:38:51.026] Version: 4.5.4
Info 2    [09:38:51.026] Arguments: /Users/jrubisch/.asdf/installs/nodejs/16.13.1/bin/node /Users/jrubisch/.dotfiles/emacs/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js --logFile /Users/jrubisch/Documents/_CODE/demo/stimulus_reflex_importmaps/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/rd/gdq0n02s4r5drfgdxsxhwr8r0000gn/T/fed617f55d3a426d74c8520b2b58595c/tscancellation*
Info 3    [09:38:51.026] Platform: darwin NodeVersion: 16 CaseSensitive: false
Info 4    [09:38:51.026] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [09:38:51.033] Format host information updated
Info 6    [09:38:51.035] Search path: /Users/jrubisch/Documents/_CODE/demo/stimulus_reflex_importmaps/app/javascript/controllers
Info 7    [09:38:51.035] For info: /Users/jrubisch/Documents/_CODE/demo/stimulus_reflex_importmaps/app/javascript/controllers/index.js :: No config files found.
Info 8    [09:38:51.037] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [09:38:51.319] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 281.96562480926514ms
Info 10   [09:38:51.320] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [09:38:51.320] 	Files (19)

Info 12   [09:38:51.320] -----------------------------------------------
Info 13   [09:39:55.861] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [09:39:55.878] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true structureIsReused:: SafeModules Elapsed: 15.666125059127808ms
Info 15   [09:39:55.878] Different program with same set of files
Info 16   [09:39:56.961] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 17   [09:39:56.969] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 7.570874929428101ms
Info 18   [09:39:56.969] Different program with same set of files
Info 19   [09:40:04.777] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [09:40:04.797] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: true structureIsReused:: SafeModules Elapsed: 19.059250116348267ms
Info 21   [09:40:04.797] Different program with same set of files
Info 22   [09:40:08.699] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
